airport,timezone,elevation,continent,longitude,latitude
EDLW,Europe/Berlin,425.0,EU,7.61224,51.518299
LICB,Europe/Rome,756.0,EU,14.60889,36.99583
EGGP,Europe/London,80.0,EU,-2.84972,53.333599
VVTS,Asia/Ho_Chi_Minh,33.0,AS,106.652,10.8188
DBBB,Africa/Porto-Novo,19.0,AF,2.384350061416626,6.357230186462402
LEZG,Europe/Madrid,863.0,EU,-1.04155,41.666199
EBKT,Europe/Brussels,55.0,EU,3.209551,50.818878
TNCA,America/Aruba,60.0,,-70.015198,12.5014
LFCR,Europe/Paris,1910.0,EU,2.48267,44.407902
UTAK,Asia/Ashgabat,279.0,AS,53.007198,40.063301
GMFK,Africa/Casablanca,3428.0,AF,-4.39833021164,31.9475002289
WMKK,Asia/Kuala_Lumpur,69.0,AS,101.709999,2.74558
GMAD,Africa/Casablanca,250.0,AF,-9.412003,30.322478
EFOU,Europe/Helsinki,47.0,EU,25.354601,64.930099
EDFH,Europe/Berlin,1649.0,EU,7.26389,49.9487
EFTU,Europe/Helsinki,161.0,EU,22.2628,60.514099
GCXO,Atlantic/Canary,2076.0,AF,-16.341499,28.4827
LRBS,Europe/Bucharest,297.0,EU,26.1021,44.503201
SVMI,America/Caracas,234.0,SA,-66.991222,10.601194
UTNU,Asia/Samarkand,320.0,AS,60.641700744628906,41.58430099487305
VOGO,Asia/Kolkata,150.0,AS,73.831398,15.3808
OMDW,Asia/Dubai,114.0,AS,55.161389,24.896356
CYYT,America/St_Johns,461.0,,-52.7519,47.618599
EFIV,Europe/Helsinki,481.0,EU,27.405300140381,68.607299804688
EFRO,Europe/Helsinki,642.0,EU,25.830400466919,66.564796447754
LDRI,Europe/Zagreb,278.0,EU,14.5703,45.2169
HAAB,Africa/Addis_Ababa,7630.0,AF,38.799301,8.97789
OPKC,Asia/Karachi,100.0,AS,67.160797,24.9065
VTSG,Asia/Bangkok,82.0,AS,98.9861984253,8.09912014008
EGJJ,Europe/Jersey,277.0,EU,-2.195509910583496,49.20790100097656
LCRA,Asia/Nicosia,76.0,AS,32.9879,34.590401
EGHL,Europe/London,618.0,EU,-1.0335,51.187199
KTUL,America/Chicago,677.0,,-95.88809967041016,36.19839859008789
GOBD,Africa/Dakar,290.0,AF,-17.073333,14.67
LFTM,Europe/Paris,2345.0,EU,5.72833,44.458302
LTBZ,Europe/Istanbul,3327.0,AS,30.128111,39.113079
HTZA,Africa/Dar_es_Salaam,54.0,AF,39.224899,-6.22202
LFLX,Europe/Paris,529.0,EU,1.721111,46.860278
GMTN,Africa/Casablanca,10.0,AF,-5.32002,35.594299
LFRH,Europe/Paris,160.0,EU,-3.44,47.760601
LTFC,Europe/Istanbul,2835.0,AS,30.368401,37.8554
EPMO,Europe/Warsaw,341.0,EU,20.6518,52.451099
EKRN,Europe/Copenhagen,52.0,EU,14.7596,55.063301
FNLU,Africa/Luanda,243.0,AF,13.2312,-8.85837
VTBS,Asia/Bangkok,5.0,AS,100.74700164794922,13.681099891662598
LGBL,Europe/Athens,83.0,EU,22.7943,39.219601
DGAA,Africa/Accra,205.0,AF,-0.1667860001325607,5.605189800262451
HRYR,Africa/Kigali,4859.0,AF,30.1395,-1.96863
KOMA,America/Chicago,984.0,,-95.894096,41.3032
RJAA,Asia/Tokyo,141.0,AS,140.386002,35.764702
EGPE,Europe/London,31.0,EU,-4.047500133514404,57.54249954223633
EPKT,Europe/Warsaw,995.0,EU,19.080705,50.476015
LEPP,Europe/Madrid,1504.0,EU,-1.64633,42.77
SBGR,America/Sao_Paulo,2461.0,SA,-46.467778,-23.431944
RJTT,Asia/Tokyo,35.0,AS,139.779999,35.552299
ESKN,Europe/Stockholm,140.0,EU,16.912201,58.788601
LKTB,Europe/Prague,778.0,EU,16.694400787353516,49.15129852294922
MMPR,America/Mexico_City,23.0,,-105.254391,20.679913
LTCM,Europe/Istanbul,20.0,AS,35.071774,42.018313
LKMT,Europe/Prague,844.0,EU,18.111099,49.696301
HHAS,Africa/Asmara,7661.0,AF,38.91070175170898,15.291899681091309
DAOO,Africa/Algiers,295.0,AF,-0.621183,35.623901
LEAB,Europe/Madrid,2302.0,EU,-1.86352,38.948502
EFET,Europe/Helsinki,1005.0,EU,23.424299240112,68.362602233887
LFBH,Europe/Paris,74.0,EU,-1.19528,46.179199
KRFD,America/Chicago,742.0,,-89.097198,42.1954
KDAB,America/New_York,34.0,,-81.058098,29.179899
LTBU,Europe/Istanbul,574.0,EU,27.919099807739254,41.13819885253906
HUEN,Africa/Kampala,3782.0,AF,32.443501,0.042386
EDJA,Europe/Berlin,2077.0,EU,10.2395000458,47.9888000488
VHHH,Asia/Hong_Kong,28.0,AS,113.915001,22.308901
