airport,timezone,elevation,continent,longitude,latitude
LTCA,Europe/Istanbul,2927.0,AS,39.28348,38.597974
LOWI,Europe/Vienna,1907.0,EU,11.344,47.260201
BIKF,Atlantic/Reykjavik,171.0,EU,-22.6056,63.985001
LMML,Europe/Malta,300.0,EU,14.4775,35.857498
EGSS,Europe/London,348.0,EU,0.235,51.884998
TNCB,America/Kralendijk,20.0,,-68.268501,12.131
LZKZ,Europe/Bratislava,755.0,EU,21.2411,48.663101
EPWR,Europe/Warsaw,404.0,EU,16.882096,51.103719
LIMF,Europe/Rome,989.0,EU,7.64963,45.200802
EFKT,Europe/Helsinki,644.0,EU,24.846799850464,67.700996398926
ESNS,Europe/Stockholm,157.0,EU,21.07690048217773,64.62480163574219
GCRR,Atlantic/Canary,46.0,AF,-13.6052,28.945499
EDDN,Europe/Berlin,1046.0,EU,11.078056,49.498699
EINN,Europe/Dublin,46.0,EU,-8.92482,52.702
EKYT,Europe/Copenhagen,10.0,EU,9.84993,57.094763
ESSB,Europe/Stockholm,47.0,EU,17.941699981689453,59.354400634765625
LKPR,Europe/Prague,1247.0,EU,14.259911,50.100874
EBLG,Europe/Brussels,659.0,EU,5.443897,50.638574
LIML,Europe/Rome,353.0,EU,9.27674,45.445099
ENDU,Europe/Oslo,252.0,EU,18.540399551392,69.055801391602
LOWS,Europe/Vienna,1411.0,EU,13.0043,47.793301
ENCN,Europe/Oslo,57.0,EU,8.08537,58.204201
LUKK,Europe/Chisinau,399.0,EU,28.931,46.9277
LRIA,Europe/Bucharest,411.0,EU,27.620833,47.180278
LIRQ,Europe/Rome,142.0,EU,11.202822,43.808558
ESNN,Europe/Stockholm,16.0,EU,17.443899154663086,62.528099060058594
LTCE,Europe/Istanbul,5763.0,AS,41.1702,39.956501
GCTS,Atlantic/Canary,209.0,AF,-16.5725,28.0445
ESKS,Europe/Stockholm,1608.0,EU,12.842503,61.158393
LYBE,Europe/Belgrade,335.0,EU,20.309099,44.818401
LIRN,Europe/Rome,294.0,EU,14.2908,40.886002
LRCK,Europe/Bucharest,353.0,EU,28.4883,44.362202
EGGD,Europe/London,622.0,EU,-2.71909,51.382702
LTCG,Europe/Istanbul,104.0,AS,39.7897,40.995098
OJAI,Asia/Amman,2395.0,AS,35.9931983948,31.7226009369
KPHL,America/New_York,36.0,,-75.241096,39.871899
LEBB,Europe/Madrid,138.0,EU,-2.91061,43.301102
LYPG,Europe/Podgorica,141.0,EU,19.2519,42.359402
LTAU,Europe/Istanbul,3463.0,AS,35.4953994751,38.770401001
LOWK,Europe/Vienna,1472.0,EU,14.3377,46.642502
DTTA,Africa/Tunis,22.0,AF,10.2272,36.851002
EYVI,Europe/Vilnius,648.0,EU,25.285801,54.634102
EGNT,Europe/London,266.0,EU,-1.689577,55.037958
UGTB,Asia/Tbilisi,1624.0,AS,44.9547,41.669201
BKPR,Europe/Belgrade,1789.0,EU,21.035801,42.5728
LIBR,Europe/Rome,47.0,EU,17.947001,40.6576
EGNX,Europe/London,306.0,EU,-1.32806,52.8311
UKOO,Europe/Kyiv,172.0,EU,30.6765,46.4268
LTAI,Europe/Istanbul,177.0,AS,30.800501,36.898701
LWSK,Europe/Skopje,781.0,EU,21.622581,41.958087
EDDP,Europe/Berlin,465.0,EU,12.232705,51.420657
LTCO,Europe/Istanbul,5462.0,AS,43.025742,39.655642
GCLP,Atlantic/Canary,78.0,AF,-15.3866,27.9319
EKBI,Europe/Copenhagen,247.0,EU,9.157019,55.740335
ESNQ,Europe/Stockholm,1508.0,EU,20.336799621582,67.821998596191
ESNU,Europe/Stockholm,24.0,EU,20.282800674438,63.791801452637
ENAT,Europe/Oslo,9.0,EU,23.371700286865,69.976097106934
EKAH,Europe/Copenhagen,82.0,EU,10.618286,56.303331
ESSV,Europe/Stockholm,164.0,EU,18.346200942993,57.662799835205
LTAJ,Europe/Istanbul,2315.0,AS,37.478699,36.947201
EPKK,Europe/Warsaw,791.0,EU,19.7848,50.077702
KATL,America/New_York,1026.0,,-84.428101,33.6367
MMUN,America/Cancun,22.0,,-86.874304,21.039444
EGGW,Europe/London,526.0,EU,-0.368333,51.874699
OIIE,Asia/Tehran,3305.0,AS,51.15219879150391,35.416099548339844
ENAL,Europe/Oslo,69.0,EU,6.1197,62.5625
ENNA,Europe/Oslo,25.0,EU,24.973499,70.068802
LIPX,Europe/Rome,239.0,EU,10.887303,45.394955
EHGG,Europe/Amsterdam,17.0,EU,6.57944,53.119701
UDYZ,Asia/Yerevan,2838.0,AS,44.3959007263,40.1473007202
MPTO,America/Panama,135.0,,-79.383499,9.07136
ESMQ,Europe/Stockholm,17.0,EU,16.2876,56.685501
LTBJ,Europe/Istanbul,412.0,AS,27.157,38.2924
MKJS,America/Jamaica,4.0,,-77.913399,18.5037
LATI,Europe/Tirane,126.0,EU,19.7206,41.4147
KMCO,America/New_York,96.0,,-81.30899810791016,28.429399490356445
LEGR,Europe/Madrid,1860.0,EU,-3.77736,37.188702
LTFH,Europe/Istanbul,18.0,AS,36.54861,41.26556
LICC,Europe/Rome,39.0,EU,15.0664,37.466801
ENTC,Europe/Oslo,31.0,EU,18.9189,69.683296
ESTA,Europe/Stockholm,68.0,EU,12.847100257873535,56.29610061645508
LFBD,Europe/Paris,162.0,EU,-0.715556,44.8283
LTCI,Europe/Istanbul,5480.0,AS,43.332298278808594,38.46820068359375
LEMI,Europe/Madrid,644.0,EU,-1.125,37.803
EGSH,Europe/London,117.0,EU,1.28278,52.6758
LOWG,Europe/Vienna,1115.0,EU,15.4396,46.9911
FIMP,Indian/Mauritius,186.0,AF,57.683601,-20.430201
GCFV,Atlantic/Canary,85.0,AF,-13.8638,28.4527
UKLL,Europe/Kyiv,1071.0,EU,23.9561,49.8125
LTCN,Europe/Istanbul,1723.0,AS,36.9535217285,37.5388259888
GFLL,Africa/Freetown,84.0,AF,-13.1955,8.61644
LTCT,Europe/Istanbul,3101.0,AS,43.876648,39.976627
ENKR,Europe/Oslo,283.0,EU,29.8913,69.7258
LTCF,Europe/Istanbul,5889.0,AS,43.1150016784668,40.562198638916016
GVAC,Atlantic/Cape_Verde,177.0,AF,-22.9494,16.7414
MDLR,America/Santo_Domingo,213.0,,-68.911111,18.452222
OLBA,Asia/Beirut,87.0,AS,35.488399505615234,33.820899963378906
HEGN,Africa/Cairo,32.0,AF,33.796692,27.176776
ELLX,Europe/Luxembourg,1234.0,EU,6.2044444,49.6233333
UUDD,Europe/Moscow,588.0,EU,37.9063,55.408798
FCPP,Africa/Brazzaville,55.0,AF,11.8866,-4.81603
EGPD,Europe/London,215.0,EU,-2.19778,57.2019
UMMS,Europe/Minsk,670.0,EU,28.039964,53.888071
EKVG,Atlantic/Faroe,280.0,EU,-7.275782,62.063256
LBWN,Europe/Sofia,230.0,EU,27.8251,43.232101
EHEH,Europe/Amsterdam,74.0,EU,5.37452983856,51.4500999451
ESSP,Europe/Stockholm,32.0,EU,16.250600814819336,58.58629989624024
LQSA,Europe/Sarajevo,1708.0,EU,18.331499,43.8246
LICJ,Europe/Rome,65.0,EU,13.091,38.175999
TNCC,America/Curacao,29.0,,-68.959801,12.1889
EVRA,Europe/Riga,36.0,EU,23.9711,56.923599
VIDP,Asia/Kolkata,777.0,AS,77.09519,28.55563
VTSP,Asia/Bangkok,82.0,AS,98.316902,8.1132
HECA,Africa/Cairo,322.0,AF,31.396694,30.111534
LFPO,Europe/Paris,291.0,EU,2.37944,48.72333
CYYZ,America/Toronto,569.0,,-79.6306,43.6772
ENML,Europe/Oslo,10.0,EU,7.2625,62.744701
LTAL,Europe/Istanbul,3520.0,AS,33.795799,41.314201
UCFM,Asia/Bishkek,2058.0,AS,74.4776000977,43.0612983704
UBBG,Asia/Baku,1083.0,AS,46.3176,40.737701
HTDA,Africa/Dar_es_Salaam,182.0,AF,39.202599,-6.87811
KPAE,America/Los_Angeles,606.0,,-122.281998,47.9063
EYKA,Europe/Vilnius,256.0,EU,24.084800720214844,54.96390151977539
ULLI,Europe/Moscow,78.0,EU,30.262501,59.800301
LZIB,Europe/Bratislava,436.0,EU,17.2127,48.1702
UAAA,Asia/Almaty,2234.0,AS,77.042828,43.354267
LOWL,Europe/Vienna,980.0,EU,14.1875,48.2332
LTCW,Europe/Istanbul,6400.0,AS,44.2381,37.5497
LTAZ,Europe/Istanbul,3100.0,AS,34.5345,38.7719
ORER,Asia/Baghdad,1341.0,AS,43.96319961547852,36.23759841918945
LFLS,Europe/Paris,1302.0,EU,5.32937,45.3629
LTCV,Europe/Istanbul,2038.0,AS,42.0582,37.3647
LFRB,Europe/Paris,325.0,EU,-4.41854,48.447899
ENKB,Europe/Oslo,204.0,EU,7.82452,63.111801
ENEV,Europe/Oslo,84.0,EU,16.678100585938,68.491302490234
LIPQ,Europe/Rome,39.0,EU,13.4722,45.827499
UGSB,Asia/Tbilisi,105.0,AS,41.599701,41.610298
WIII,Asia/Jakarta,34.0,AS,106.65599823,-6.1255698204
TLPL,America/St_Lucia,14.0,,-60.952599,13.7332
EGVN,Europe/London,288.0,EU,-1.58362,51.75
LTAN,Europe/Istanbul,3392.0,AS,32.561901,37.979
OEDF,Asia/Riyadh,72.0,AS,49.797901,26.471201
MDPC,America/Santo_Domingo,47.0,,-68.363403,18.5674
ESNX,Europe/Stockholm,1245.0,EU,19.28190040588379,65.59030151367188
UATE,Asia/Aqtau,73.0,AS,51.09086,43.860093
TBPB,America/Barbados,169.0,,-59.4925,13.0746
EGHH,Europe/London,38.0,EU,-1.8425,50.779999
UKHH,Europe/Kyiv,508.0,EU,36.290001,49.924801
LTCS,Europe/Istanbul,2708.0,AS,38.895592,37.445663
OMDB,Asia/Dubai,62.0,AS,55.3643989563,25.2527999878
LTCK,Europe/Istanbul,4157.0,AS,41.66120147705078,38.74779891967773
URRP,Europe/Moscow,213.0,EU,39.924722,47.493888
EGAA,Europe/London,268.0,EU,-6.21582984924,54.6575012207
UACC,Asia/Almaty,1165.0,AS,71.467094,51.027035
LFLB,Europe/Paris,779.0,EU,5.88023,45.6381
LTCD,Europe/Istanbul,3783.0,AS,39.5270004272,39.7102012634
UTTT,Asia/Tashkent,1417.0,AS,69.2811965942,41.257900238
LFTH,Europe/Paris,7.0,EU,6.14602994919,43.0973014832
RKSI,Asia/Seoul,23.0,AS,126.450996,37.469101
LTCB,Europe/Istanbul,11.0,AS,38.085995,40.966872
MRLB,America/Costa_Rica,270.0,,-85.544403,10.5933
GVBA,Atlantic/Cape_Verde,69.0,AF,-22.888900756835938,16.136499404907227
LFTW,Europe/Paris,309.0,EU,4.41635,43.757401
EGTE,Europe/London,102.0,EU,-3.413984,50.734261
LTCP,Europe/Istanbul,2216.0,AS,38.468899,37.7314
GLRB,Africa/Monrovia,31.0,AF,-10.3623,6.23379
OERK,Asia/Riyadh,2049.0,AS,46.698799,24.9576
VABB,Asia/Kolkata,39.0,AS,72.8678970337,19.0886993408
MUVR,America/Havana,210.0,,-81.435303,23.034401
EGPK,Europe/London,65.0,EU,-4.587019,55.502003
OTHH,Asia/Qatar,13.0,AS,51.608056,25.273056
EHRD,Europe/Amsterdam,-15.0,EU,4.43722,51.956902
EDDC,Europe/Berlin,755.0,EU,13.767831,51.134123
LTCR,Europe/Istanbul,1729.0,AS,40.6316986084,37.2233009338
LIMJ,Europe/Rome,13.0,EU,8.840732,44.412039
LTDA,Europe/Istanbul,269.0,AS,36.282223,36.362778
KGSP,America/New_York,964.0,,-82.218903,34.895699
LFPB,Europe/Paris,218.0,EU,2.44139,48.969398
LTBH,Europe/Istanbul,23.0,AS,26.4267997742,40.1376991272
LFRS,Europe/Paris,90.0,EU,-1.61073,47.153198
OBBI,Asia/Bahrain,6.0,AS,50.63764,26.267295
EGNV,Europe/London,120.0,EU,-1.42941,54.509201
LXGB,Europe/Gibraltar,12.0,EU,-5.34966,36.151199
LECH,Europe/Madrid,1182.0,EU,0.073333,40.213889
ETNG,Europe/Berlin,296.0,EU,6.04242,50.9608
DNMM,Africa/Lagos,135.0,AF,3.321160078048706,6.5773701667785645
LFQQ,Europe/Paris,157.0,EU,3.086886,50.563332
LPPS,Atlantic/Madeira,341.0,EU,-16.3500003815,33.0733985901
GMMW,Africa/Casablanca,574.0,AF,-3.02821,34.9888
EDLV,Europe/Berlin,106.0,EU,6.14216995239,51.6024017334
ZMCK,Asia/Ulaanbaatar,4482.0,AS,106.819833,47.646916
LCPH,Asia/Nicosia,41.0,AS,32.485699,34.717999
GMFO,Africa/Casablanca,1535.0,AF,-1.926041,34.789558
LDPL,Europe/Zagreb,274.0,EU,13.9222,44.893501
LTCC,Europe/Istanbul,2251.0,AS,40.201,37.893902
LEJR,Europe/Madrid,93.0,EU,-6.06011,36.744598
ORBI,Asia/Baghdad,114.0,AS,44.2346,33.262501
LIME,Europe/Rome,782.0,EU,9.709223,45.670725
CYUL,America/Toronto,118.0,,-73.742294,45.467837
LTAR,Europe/Istanbul,5239.0,AS,36.9035,39.813801
USSS,Asia/Yekaterinburg,764.0,AS,60.802700042725,56.743099212646
LEZL,Europe/Madrid,112.0,EU,-5.89311,37.417999
FAOR,Africa/Johannesburg,5558.0,AF,28.246,-26.1392
EDLP,Europe/Berlin,699.0,EU,8.61632,51.614101
EPPO,Europe/Warsaw,308.0,EU,16.823359,52.421598
KNYL,America/Phoenix,213.0,,-114.609375,32.650938
EBMB,Europe/Brussels,184.0,EU,4.491005,50.913419
EGSY,Europe/London,163.0,EU,-3.433254,51.405229
LTFG,Europe/Istanbul,92.0,AS,32.300598,36.299217
EFKI,Europe/Helsinki,483.0,EU,27.6924,64.2855
UTFF,Asia/Tashkent,1980.0,AS,71.745003,40.358799
LDDU,Europe/Zagreb,527.0,EU,18.265543,42.562247
LFST,Europe/Paris,505.0,EU,7.628230094909668,48.53829956054688
KMLB,America/New_York,33.0,,-80.645302,28.1028
EDNY,Europe/Berlin,1367.0,EU,9.51149,47.671299
LPPD,Atlantic/Azores,259.0,EU,-25.6979007721,37.7411994934
LEST,Europe/Madrid,1213.0,EU,-8.41514,42.896301
ORSU,Asia/Baghdad,2494.0,AS,45.3167381287,35.5617485046
LTFD,Europe/Istanbul,50.0,AS,27.0138,39.5546
LIRP,Europe/Rome,6.0,EU,10.3927,43.683899
LGRP,Europe/Athens,17.0,AS,28.086201,36.405399
HEMA,Africa/Cairo,213.0,AF,34.59245,25.555548
LIBD,Europe/Rome,193.0,EU,16.760599,41.138901
LGIR,Europe/Athens,115.0,EU,25.1803,35.339699
LEIB,Europe/Madrid,24.0,EU,1.37312,38.872898
EDVE,Europe/Berlin,295.0,EU,10.5561,52.319199
KPHX,America/Phoenix,1135.0,,-112.005905,33.435302
EDXW,Europe/Berlin,51.0,EU,8.34047,54.9132
LGSA,Europe/Athens,490.0,EU,24.1497,35.5317
LGKR,Europe/Athens,6.0,EU,19.911699,39.601898
GMMN,Africa/Casablanca,656.0,AF,-7.58997,33.3675
DTNH,Africa/Tunis,21.0,AF,10.438611,36.075833
